"GEOID","B01001_001","B25001_001","B26001_001","housingvalue","mortgage","mortgagecost","mortgagetax","mortgageval","rentgross","occupyown","occupy","units","unitsownpop","vehicle","fuelheat","kitchen","plumbing","rooms","multigeneration","unitsperperson","ownervsrenter","pcthouseholdswithmorethanoneperroom","housing_score","housing_rnk","financial_score","ownership_score","building_quality_score","crowding_score","housing_state_rnk","NAME"
"13083",16445,7269,1259,118300,49.9895594069743,74.5830535786223,682,52.1413676644431,677,77.869918699187,84.605860503508,37.3973852234722,79.3954958514421,2.08048780487805,93.6910569105691,94.2770669968359,94.4559086531848,5.3,6.4390243902439,0.442018850714503,12316.3130434783,2.3739837398374,92.16,35.6683804627249,93.72,116.93,96.75,116.94,29.4871794871795,"Dade County, Georgia"
"13085",22673,10541,193,188300,63.6569213374253,86.2595322502487,1747,69.648372692411,976,75.3804943382442,77.9148088416659,36.2237022008556,71.432384341637,2.12553269207354,97.418726409351,94.6020301679158,97.6188217436676,6.3,4.31023986363083,0.464914215145768,13975.3427672956,1.16887860708633,115.68,79.6915167095116,121.8,104.9,101.96,88.97,75.6410256410256,"Dawson County, Georgia"
"13087",27378,12137,1289,114400,54.2122798667301,77.0129844618618,932,60.2618318472686,633,59.383832673827,87.4515942984263,38.7683541529695,59.1092031124229,1.63152440173356,98.407763331449,97.5694158358738,98.4345390129356,5.4,6.21820237422272,0.443312148440354,16386.8218623482,6.89655172413793,107.08,66.1632390745501,98.56,71.92,115.89,133.93,64.7435897435897,"Decatur County, Georgia"
"13089",716331,306218,14252,163000,76.9986259552319,91.0228670287849,1859,76.9916704807249,991,55.2510134781373,87.3221038606483,37.3285534201368,55.4688290064223,1.57130622746788,99.5467396670107,97.485451541059,97.8322632895519,5.7,4.70986850962617,0.427481150473734,412821.701149425,2.78986970635312,134.6,94.9550128534704,130.29,52.47,115.1,106.39,97.4358974358974,"DeKalb County, Georgia"
"13091",21180,9767,2200,67900,47.8630862329803,74.8700454840806,682,60.4003946546978,574,65.5753968253968,82.5637350261083,38.0736543909348,66.1854583772392,1.77232142857143,97.8174603174603,90.5805262619023,92.4541824511109,5.3,4.60069444444444,0.461142587346553,14033.9307359307,2.80257936507937,90.98,32.9048843187661,91.33,87.34,86.14,110.39,26.9230769230769,"Dodge County, Georgia"
"13093",14293,6239,1674,73000,40.1741293532338,66.4665885111372,759,45.0865674017236,499,64.2685851318945,80.205161083507,35.0101448261387,64.3870354227752,1.65727418065548,97.9016786570743,93.2681519474275,93.8932521237378,5.4,7.77378097521982,0.43650738123557,8095.43027888446,4.01678657074341,86.34,23.4897172236504,79.04,83.91,93.38,128.51,14.7435897435897,"Dooly County, Georgia"
"13095",93310,40706,3923,101400,59.4062461424515,80.4908846973404,1358,61.3944085759336,689,45.6973628543224,87.1001817913821,37.9969992498125,45.6498148500341,1.51053448032718,99.0748836553378,95.9858497518793,96.7596914459785,5.2,5.02044845578903,0.436244775479584,41658.5396825397,3.21534339303342,112.8,76.5102827763496,103.98,39.78,109.41,115.88,70.5128205128205,"Dougherty County, Georgia"
"13097",136520,51775,1307,121300,72.2062675545176,90.2878203257568,1286,75.180740977685,949,67.3060175449776,90.9299855142443,34.4850571344858,69.8083764135105,1.93124322946537,98.9209626372693,97.1801062288749,98.7580878802511,6.1,6.00055226321715,0.379248461763844,85816.9735849057,2.26427919029716,125.51,90.1670951156812,123.12,91.61,117.98,105.64,90.3846153846154,"Douglas County, Georgia"
"13099",10579,4930,159,81600,46.3636363636364,68.6897629591039,906,43.2157810576812,585,66.3149962321025,80.7505070993915,37.6311560639002,65.8253358925144,1.6827430293896,98.5430796282341,95.6795131845842,96.0040567951318,5.3,7.68651092690279,0.46601758200208,5944.96240601504,4.99874403416227,90.96,32.840616966581,84.1,88.02,103.33,132.91,26.2820512820513,"Early County, Georgia"
"13101",4048,1665,0,67600,36.9098712446352,64.0655275673771,857,45.6815861905543,612,65.819209039548,85.045045045045,34.9802371541502,65.0938735177866,1.95480225988701,98.8700564971751,92.012012012012,93.1531531531532,5.5,4.59039548022599,0.411314229249012,1967.06506849315,4.09604519774011,86.25,23.2647814910026,79.48,86.71,92.57,114.46,14.1025641025641,"Echols County, Georgia"
